Datum,Temperatur,Humidity
2021-03-04 06:21:01,22.2,37.6
2021-03-04 06:22:01,22.2,37.6
2021-03-04 06:23:01,22.2,37.7
2021-03-04 06:24:02,22.3,37.7
2021-03-04 06:25:02,22.2,37.6
2021-03-04 06:26:01,22.2,37.7
2021-03-04 06:27:01,22.2,37.7
2021-03-04 06:28:01,22.3,37.8
2021-03-04 06:29:01,22.2,37.7
2021-03-04 06:30:02,22.2,37.7
2021-03-04 06:31:02,22.2,37.7
2021-03-04 06:32:01,22.2,37.7
2021-03-04 06:33:01,22.2,37.7
2021-03-04 06:34:04,22.2,37.7
2021-03-04 06:35:02,22.2,37.7
2021-03-04 06:36:02,22.2,37.7
2021-03-04 06:37:01,22.2,37.6
2021-03-04 06:38:01,22.2,37.7
2021-03-04 06:39:01,22.2,37.7
2021-03-04 06:40:01,22.2,37.7
2021-03-04 06:41:02,22.2,37.7
2021-03-04 06:42:02,22.2,37.7
2021-03-04 06:43:01,22.2,37.7
2021-03-04 06:44:01,22.2,37.7
2021-03-04 06:45:01,22.2,37.7
2021-03-04 06:46:01,22.2,37.7
2021-03-04 06:47:02,22.2,37.7
2021-03-04 06:48:02,22.2,37.7
2021-03-04 06:49:02,22.1,37.6
2021-03-04 06:50:01,22.2,37.7
2021-03-04 06:51:01,22.2,37.7
2021-03-04 06:52:01,22.2,37.7
2021-03-04 06:53:01,22.2,37.7
2021-03-04 06:54:02,22.1,37.6
2021-03-04 06:55:02,22.1,37.6
2021-03-04 06:56:01,22.2,37.7
2021-03-04 06:57:01,22.1,37.6
2021-03-04 06:58:01,22.1,37.6
2021-03-04 06:59:01,22.1,37.6
2021-03-04 07:00:02,22.1,37.6
2021-03-04 07:01:02,22.1,37.6
2021-03-04 07:02:02,22.1,37.6
2021-03-04 07:03:01,22.2,37.7
2021-03-04 07:04:01,22.1,37.6
2021-03-04 07:05:01,22.1,37.7
2021-03-04 07:06:01,22.1,37.6
2021-03-04 07:07:02,22.1,37.6
2021-03-04 07:08:02,22.1,37.6
2021-03-04 07:09:01,22.1,37.6
2021-03-04 07:10:01,22.1,37.7
2021-03-04 07:11:01,22.1,37.6
2021-03-04 07:12:01,22.1,37.7
2021-03-04 07:13:02,22.1,37.6
2021-03-04 07:14:02,22.1,37.7
2021-03-04 07:15:01,22.1,37.7
2021-03-04 07:16:01,22.1,37.7
2021-03-04 07:17:01,22.1,37.6
2021-03-04 07:18:01,22.2,37.7
2021-03-04 07:19:01,22.2,37.7
2021-03-04 07:20:02,22.1,37.6
2021-03-04 07:21:02,22.2,37.6
2021-03-04 07:22:01,22.3,37.8
2021-03-04 07:23:01,22.4,37.4
2021-03-04 07:24:01,22.5,37.3
2021-03-04 07:25:01,22.6,37.2
2021-03-04 07:26:02,22.7,37.1
2021-03-04 07:27:02,22.8,36.9
2021-03-04 07:28:04,22.9,36.8
2021-03-04 07:29:01,22.8,36.8
2021-03-04 07:30:01,22.8,36.8
2021-03-04 07:31:02,22.8,36.7
2021-03-04 07:32:02,22.9,36.7
2021-03-04 07:33:01,22.9,36.7
2021-03-04 07:34:01,22.9,36.7
2021-03-04 07:35:01,22.9,36.6
2021-03-04 07:36:01,22.9,36.6
2021-03-04 07:37:02,23.0,36.6
2021-03-04 07:38:02,23.0,36.5
2021-03-04 07:39:01,23.0,36.5
